No.,Tweet ID
542,[['1451438278452916241']]
543,[['1351091504014569472']]
544,[['1390721832496599051']]
545,[['1350095289055637508']]
546,[['1351535176447365127']]
547,[['1350745861865795584']]
548,[['1451501214961655810']]
549,[['1351925590966759424']]
550,[['1389558284852547584']]
551,[['1390960409570693120']]
552,[['1351570111702949889']]
553,[['1450556948483555332']]
554,[['1389870983213944834']]
555,[['1349991830352515073']]
556,[['1242902019658207237']]
557,[['1241033710054621185']]
558,[['1352354489584517120']]
559,[['1450283274459299846']]
560,[['1351530906708795392']]
561,[['1391487248193966084']]
562,[['1451632395921285125']]
563,[['1391694284420755464']]
564,[['1352333472824766466']]
565,[['1389574572341661700']]
566,[['1450902114176315401']]
567,[['1390621987509264385']]
568,[['1451670671159869440']]
569,[['1351213189552336899']]
570,[['1351266374874669058']]
571,[['1351436144332959745']]
572,[['1450801477094608899']]
573,[['1350555485787844608']]
574,[['1450583656205062150']]
575,[['1352137175215861760']]
576,[['1350174574198059014']]
577,[['1350710479400873984']]
578,[['1351447238816522240']]
579,[['1451209162138914819']]
580,[['1350088512427720704']]
581,[['1450484862197043200']]
582,[['1351482034678599680']]
583,[['1391737828892151809']]
584,[['1351555334096236553']]
585,[['1351152107257122816']]
586,[['1389985186616692736']]
587,[['1451318239653400579']]
588,[['1390278090811748356']]
589,[['1389649184052195334']]
590,[['1350287969664557056']]
591,[['1390725706020270081']]
592,[['1452606190748422155']]
593,[['1389559962104442883']]
594,[['1350721599222198273']]
595,[['1452636940839399427']]
596,[['1350151268946292737']]
597,[['1351117762844880898']]
598,[['1391358950776377347']]
599,[['1351477429181808641']]
600,[['1451456993475145734']]
601,[['1390241175295102988']]
602,[['1452139671115505665']]
603,[['1390060269993402368']]
604,[['1350839247541067777']]
605,[['1351448531127705600']]
606,[['1390450144965967874']]
607,[['1452717514803253251']]
608,[['1350533867057389573']]
609,[['1452627481639464960']]
610,[['1350333035116449793']]
611,[['1351954714712223745']]
612,[['1350104196100608004']]
